States,Code,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United States,US,16.10447327,15.50490733,15.04470388,14.72927172,15.00794653,16.48970455,16.83341684,16.84399876,16.8180033,16.60319913,15.91138455,17.2697562,19.22442446,19.1135581,19.08817988,19.16084384,19.43947319,19.1066503,18.69797823,18.23128117,17.60404859,17.03598537
Alabama,AL,24.68239496,23.59007287,23.1806708,23.2625581,23.63431972,25.3875549,25.73404857,25.69300823,25.7124802,25.13751836,22.58123447,25.24314913,27.15880422,26.12361702,26.3035924,26.20667125,26.16840677,25.84922993,25.39074292,24.71633028,24.04169175,23.35786952
Alaska,AK,8.871235655,9.372530185,9.274220634,9.186395617,9.467334813,10.91451843,11.29049185,11.76736412,11.98465383,12.35699281,11.64626775,10.69976008,13.95981781,13.07586318,13.75927339,14.26643532,14.42334466,13.46329577,13.2394755,14.23728814,13.8547486,13.16943179
Arizona,AZ,17.65056988,16.8229878,16.11726436,15.57710041,15.7151955,17.37439339,17.49078795,17.18380338,16.72249184,16.40667031,16.14941847,17.94286455,20.72782731,21.01254723,21.18147249,21.10273801,21.33684955,21.1926022,20.93805401,20.35711132,19.43994231,18.63868322
Arkansas,AR,23.79313375,22.82613654,22.26657876,22.24811081,22.63327581,24.61753614,24.80834012,24.79870708,24.88484416,24.43175343,21.79602684,24.67308524,26.47906481,25.99578709,25.80458322,25.59205563,25.79349795,25.36913191,25.12082011,24.63795404,23.98017939,23.35233475
California,CA,17.42783747,16.72050789,16.09211127,15.23896293,15.19671978,16.42654328,16.54411939,16.35419245,16.06324894,15.73949654,15.50588659,16.56740126,18.70513723,18.97507525,19.18621781,18.98195706,19.30322728,19.02569581,18.37455771,17.45583186,16.81499735,16.09945685
Colorado,CO,12.73577004,11.94533231,11.19566251,10.63345545,10.77319881,12.32455801,12.85494679,12.80239581,12.72312656,12.51761545,12.25548956,13.16848466,15.19631008,15.29708023,15.40594225,15.21539498,15.29595078,14.7827279,14.39679052,13.90938983,13.15912599,12.41981327
Connecticut,CT,9.175355864,8.995241508,8.781322271,8.562363312,8.781070304,9.773874559,10.15105313,10.20722408,10.27601198,10.3224745,10.15286958,10.93298593,12.1786045,12.10558305,12.47690945,12.74835198,13.27103338,13.24058143,13.12164265,12.97685555,12.73668237,12.52282763
Delaware,DE,14.30054518,13.67210666,13.14182988,12.81199675,13.03556563,14.39209315,14.6641153,14.65309599,14.81418978,14.68053557,14.22076537,15.5472514,16.92550277,16.9866325,17.00169722,17.16918116,17.4194869,17.40570502,17.02522419,16.6213132,16.14592312,15.71744775
District of Columbia,DC,20.03654831,19.34018937,18.86892332,18.42067568,18.16101563,19.00169533,18.77342234,18.02766622,17.71525875,17.11646271,16.01826975,16.57483035,17.04313497,16.75256455,17.34239562,16.9072102,17.1122187,16.79477667,16.19865398,15.7474347,15.05181868,14.34244736
Florida,FL,18.98833044,18.134274,17.74879188,17.56148927,17.96771663,19.6660562,20.07509483,19.76202673,19.39914137,19.2286351,18.69277021,20.877061,22.93514034,21.94001361,21.93337007,23.41547426,23.98416963,23.60675482,23.03693255,22.65150113,21.76418936,21.30510653
Georgia,GA,21.05655061,20.25050039,19.82380651,19.71824557,20.22084649,22.24877004,22.78514183,22.87598269,23.10797718,22.95405019,22.06572111,24.04098749,24.83236158,24.88409148,24.42068099,25.9341871,26.33869576,26.00591121,25.49615881,24.84870622,23.8988491,23.38709853
Hawaii,HI,12.04118782,12.14236033,11.92813617,11.7970282,12.33786804,14.32437287,14.48017541,14.63912797,14.09630057,13.93847186,13.83835109,14.78584877,16.71413556,17.10957481,17.32764507,17.22178801,17.19434901,16.72239822,16.07679684,15.22465598,14.51501155,13.9466943
Idaho,ID,16.14612927,15.70297779,15.03938494,14.53167798,15.12909633,17.14091641,17.5242159,17.3986424,17.2890483,16.69058665,16.04418632,18.00657844,21.11062631,20.9840025,20.92533125,20.61776744,20.53005986,19.89344578,19.18574852,18.35484961,17.32483409,16.34286444
Illinois,IL,13.79315747,13.37525565,13.16373909,13.05181708,13.32769997,14.59629733,14.9422612,15.05574721,15.14703164,14.9597956,14.4353609,15.60869612,17.23136596,17.25467065,17.36117509,17.25200713,17.36347424,17.21808938,16.86424958,16.51598583,15.96804271,15.42333782
Indiana,IN,13.73881736,13.1699936,12.71630466,12.73536131,13.23576848,14.71675491,15.11918013,15.22744492,15.47826907,15.4720104,15.18051085,16.71339904,18.81358505,18.55867918,18.68974707,18.61697914,18.88788996,18.55493301,18.15180349,17.64601587,16.9824078,16.49562747
Iowa,IA,11.66878654,11.15787361,10.67038898,10.62994865,11.07394437,12.64919058,13.01450098,12.97183437,13.17069367,13.2010191,12.64460672,13.71094943,15.60570228,15.31358421,15.19641959,15.19089373,15.32670672,14.99201007,14.76321779,14.44302442,14.01554386,13.61988252
Kansas,KS,12.69315767,12.23468612,11.87467659,11.79768342,12.08164337,14.01117212,14.56482135,14.53797773,14.60636872,14.22164722,13.97100167,14.71672245,16.75614656,16.92559568,16.89460812,16.71325185,16.8542377,16.5506869,16.2289512,16.02706417,15.50502777,14.99097426
Kentucky,KY,18.55056398,17.93876368,17.37223425,17.13449188,17.31279178,19.23826808,19.68319034,19.65101751,19.82621066,19.80758723,17.97693722,20.65100814,22.57950457,22.20967149,22.15927316,22.0940876,22.44336407,22.14164138,21.59922091,21.11472486,20.49125256,20.08826575
Louisiana,LA,26.93778268,25.75396649,25.8217207,25.69510427,25.96814434,27.94895221,28.45357995,28.86071927,27.92514336,26.93521589,24.50899769,26.05570584,28.08020174,27.63041312,27.3348695,26.93797005,26.99369362,26.55254678,26.6323317,26.4398358,25.97122375,25.52300403
Maine,ME,14.43462331,13.83773473,12.98196021,12.41543971,12.50053216,13.88852213,14.1347961,14.08220382,14.31586573,14.23629787,13.18236266,14.97631274,16.88257625,16.75207221,16.71744855,16.74269061,16.8462107,16.73560193,16.32182128,15.84340959,15.26047823,14.55707598
Maryland,MD,13.35364488,13.19632772,12.62173215,12.13209837,12.09582948,13.19796699,13.4359702,13.26245736,13.17044388,13.00823061,12.66742695,13.5245131,14.75218566,14.79036047,14.87091429,14.85810558,14.98953065,15.18245241,14.78355935,14.34676228,13.89744689,13.54284896
Massachusetts,MA,9.64856662,9.307270254,8.924612573,8.483763858,8.650995474,9.637294817,10.09123776,10.24735236,10.37855402,10.351935,10.07006466,11.0403152,12.3046274,12.34299722,12.54799638,12.66905397,12.93384186,12.78007728,12.40940802,11.97880315,11.58426352,11.2503619
Michigan,MI,12.9619922,12.49727654,12.02083061,11.90223811,12.47953192,13.77277557,14.184597,14.53407927,14.91999378,15.08494601,14.94838751,16.38962771,18.38938997,18.38372463,18.41223296,18.27321725,18.38328137,18.03313328,17.53530994,17.04720772,16.47441685,15.96120537
Minnesota,MN,9.898377903,9.465702265,9.0029753,8.801011534,9.1434861,10.43084234,10.84518794,10.94646049,11.12901175,11.0139867,11.1411158,11.9961287,13.65762097,13.64711027,13.68155953,13.53858133,13.60960572,13.29759132,12.86038772,12.55000091,12.05719294,11.59997711
Mississippi,MS,31.54756051,29.79556253,29.31698792,29.41414073,29.80145295,31.77697073,31.86647926,32.09886179,32.23312625,31.48605753,27.91318545,31.7607507,33.76795366,32.84975789,32.79001163,32.4419665,32.40210009,32.13475736,31.6223729,30.87996229,30.23854429,29.67696217
Missouri,MO,16.04691246,15.46488143,14.99218443,14.74517452,14.98277417,16.56055162,17.0092769,17.16518153,17.29597267,17.00748782,16.26869385,17.88713575,19.87507648,19.85486851,19.78099451,19.66332286,19.78505913,19.34580486,18.90478377,18.43074091,17.85182103,17.38058124
Montana,MT,16.51466918,16.08652594,15.54834981,15.22965882,15.44180512,17.08033615,17.18367234,16.97034891,16.65595358,15.99900414,15.17178266,16.43644701,18.65566193,18.25688479,18.01739232,17.51674395,17.46780412,16.9102254,16.46940822,16.2179436,15.60741574,14.91279524
Nebraska,NE,12.29471567,11.81261347,11.40232961,11.19009237,11.69910628,13.47669278,13.75130963,13.81562353,13.95460834,13.89003542,13.41290337,14.32915667,16.24817841,16.13119269,16.14417572,15.9724293,16.09721733,15.71251828,15.38145064,15.03178473,14.61069781,14.15347405
Nevada,NV,14.87312571,14.39220413,13.76358551,13.49729268,13.84183441,15.281492,15.33382821,15.00768808,14.69782752,14.44283668,14.28138934,15.4045046,18.07314853,18.83548746,18.7688811,18.9419557,20.00688258,19.7185443,19.55164985,19.20843255,18.6616167,18.07307045
New Hampshire,NH,9.9756608,9.350773819,8.703483355,8.157167401,8.301471239,9.543721074,9.775090049,9.850002177,9.844471136,9.880461933,9.779932181,10.60225331,12.17251567,12.21122361,12.19806692,12.20602727,12.27411406,11.93121268,11.50067091,11.06514551,10.57223251,10.1307419
New Jersey,NJ,11.79511881,11.36740038,11.06633966,10.82191481,11.0773244,11.95358049,12.14024715,12.09638973,12.06684934,11.90687962,11.61804612,12.43971913,13.600673,13.55464173,13.85175676,13.91321305,14.56245609,14.59809976,14.3873114,14.10668102,13.82436248,13.43457159
New Mexico,NM,24.07837756,23.36751369,23.02336717,23.91324959,21.48805931,24.27828256,24.40315043,24.12431605,23.69065628,22.57973615,21.45589727,22.77885408,24.80544022,24.510707,24.38596568,24.55099742,24.68285251,24.17768029,24.01438771,23.75313918,22.82756004,21.99093756
New York,NY,16.05568122,15.75203827,15.53363078,15.4598848,15.95256896,17.16459764,17.42375842,17.46612807,17.52332773,17.27074741,16.40010985,17.62489853,18.92098225,18.91802172,19.06622226,19.19134962,19.68685302,19.4989626,19.04029389,18.48518313,17.78737502,17.0642684
North Carolina,NC,19.21987265,18.28342259,17.86710755,17.66184053,18.11089807,20.02176132,20.40176994,20.31865398,20.32480593,20.03543528,18.70897336,20.68222917,22.51896619,22.1665446,22.20542344,22.1644327,22.4339459,22.24839699,21.76733083,20.99222937,20.37165269,19.68783685
North Dakota,ND,12.70832362,12.27085186,11.7867482,11.59888377,11.73449754,13.23046771,13.17677713,13.12887257,13.0916074,12.85129457,12.08796645,12.60034515,14.11236887,13.62002288,13.06694899,12.55122516,12.38911151,11.92217395,12.00963803,12.3285389,12.21346705,11.7550033
Ohio,OH,12.93492535,12.57014752,12.18028584,12.13361893,12.58319021,14.00374591,14.44934248,14.67601629,14.94063245,15.12398136,14.51732756,16.1101208,18.09333339,18.0097915,17.96631214,17.8367553,18.02326211,17.74080702,17.43908872,17.0873424,16.57014655,16.06440199
Oklahoma,OK,20.36112716,19.71352776,19.00212865,18.66238591,18.709461,20.89306748,21.467778,21.42300668,21.32144139,20.60941484,18.79811753,20.53318434,22.90611346,22.60944527,22.16056463,21.64897495,21.77285828,21.22132377,21.36436714,21.43502308,20.84194769,20.17501601
Oregon,OR,13.64336696,13.2834043,12.65008241,12.37234554,12.81535595,14.04873762,14.31536048,14.34888054,14.09520985,13.85642275,13.33021841,14.73521262,16.61151425,16.45958457,16.56705314,16.54219504,16.6308971,16.29574882,15.724277,14.99873615,14.22661481,13.49860857
Pennsylvania,PA,12.67577441,12.2494603,11.88281285,11.61539936,11.8931397,13.02553919,13.39680555,13.46560718,13.62413355,13.46150026,12.77370252,13.97840639,15.41077819,15.17239759,15.29413858,15.35803017,15.81958915,15.72128142,15.50843795,15.34883045,14.92006279,14.48954717
Rhode Island,RI,12.95608279,12.45212514,12.09247369,11.74659993,11.84311606,12.92944782,13.13468376,13.25807393,13.54072128,13.43261638,13.13332712,14.85601389,16.16352929,15.9207293,16.26651128,16.39404987,17.03421906,16.87520359,16.42433319,15.98473686,15.46288014,15.04153591
South Carolina,SC,22.33288938,21.39000578,20.9480818,20.86315169,21.42535619,23.17850437,23.46610683,23.37710498,23.28531929,22.85671616,20.93698861,23.34431255,25.11026207,24.67371698,24.5209786,24.41667349,24.42760415,24.16560749,23.40199011,22.61210081,21.79480313,21.04106989
South Dakota,SD,14.49110914,13.98747997,13.45779142,13.24415488,13.53464158,15.33367238,15.51046443,15.42320009,15.3675379,15.20243086,14.41607939,15.41859719,17.44613236,16.96010686,16.15395646,16.16098325,16.74259681,15.7256887,15.3016515,15.165797,14.64542897,14.16801216
Tennessee,TN,20.10812669,19.23587972,18.72344955,18.66012475,19.14380508,20.8756106,21.31054231,21.15280381,21.26164972,21.10909656,19.44126417,22.03846216,24.18539012,23.78999494,23.47739697,23.3515149,23.4433028,23.04498081,22.50705344,21.68826957,20.86977144,20.21789073
Texas,TX,22.56050914,21.61853712,21.12674877,20.50501404,20.71171982,22.70955127,23.247357,23.54460536,23.52918258,22.88216097,21.43378423,22.3962585,24.81248065,24.58858908,23.77942908,23.3481143,23.66167069,22.68502111,22.48990068,22.46493375,21.6205294,21.12537222
Utah,UT,12.79779273,12.14840665,11.71927428,11.41663862,11.74780299,13.78915819,14.40588485,14.35487659,14.12868942,13.53785544,13.11767929,14.32415701,17.40186685,17.71993591,17.55791282,17.25591735,17.29268007,16.72874017,15.93666168,15.18424544,14.35909427,13.58605971
Vermont,VT,13.28691893,12.5205885,11.65163958,10.88304262,10.96935219,12.31680988,12.6809592,12.56109785,12.53070222,12.29463763,11.99139433,13.16239904,14.66209781,14.74863252,14.67335712,14.74241245,14.69142715,14.37774887,14.0820019,13.68072178,13.26692256,12.67121203
Virginia,VA,14.78580692,13.80221055,13.20784795,12.78165262,12.92932192,14.34387554,14.5832787,14.33099144,14.23130703,14.09440427,13.58056937,14.83293596,16.43316799,16.45676162,16.38998671,16.37414165,16.69391576,16.56541863,16.31316992,15.90678358,15.4012002,14.98226617
Washington,WA,11.79944791,11.65613426,11.18201701,10.82146251,11.04519303,12.31500334,12.62741423,12.71354869,12.44679665,12.16978272,11.68845885,12.52746252,14.24237953,14.15350022,14.29058575,14.31297004,14.39221402,13.96455015,13.48423935,12.95871691,12.18736426,11.49647678
West Virginia,WV,19.13345723,18.68626518,18.10622044,17.75483344,17.77772448,19.26459186,19.60346032,19.43950428,19.485319,19.0839209,16.73233106,19.41496197,21.3812602,20.85212815,20.41384799,20.27039024,20.67259886,20.60513947,20.44150789,20.37848554,19.55030388,18.7187933
Wisconsin,WI,10.50970098,9.919866707,9.470863928,9.365859181,9.749615833,11.02663789,11.32955833,11.42053247,11.65461743,11.65831991,11.52749726,12.56086383,14.42577329,14.21845598,14.42335781,14.40840862,14.51732788,14.27956561,13.85070318,13.52438977,13.00506152,12.47665323
Wyoming,WY,14.89926962,14.15259376,13.43422464,12.99130398,12.65436108,14.03582886,14.30675773,13.94029165,13.37888579,12.61886664,11.94668335,12.3364752,14.63002632,14.40291705,13.34959774,13.71743022,14.66258101,13.40335084,13.67144036,14.27669921,13.65846471,12.90653009