State,Abbrev,Code,Poverty Decrease,Poverty_2020,Standard Error
Alabama,Ala.,AL,-1.8,14.9,1.8
Alaska,Alaska,AK,-0.8,13.3,1.3
Arizona,Ariz.,AZ,-2.8,10.8,1
Arkansas,Ark.,AR,-1.3,14.2,1.1
California,Calif.,CA,-1.5,11,0.5
Colorado,Colo.,CO,0.4,9.5,1.5
Connecticut,Conn.,CT,-0.7,11.2,1.4
Delaware,Del.,DE,0.4,10.5,1.4
District of Columbia,D.C.,DC,0.3,16.7,1.2
Florida,Fla.,FL,-1.2,13.2,0.8
Georgia,Ga.,GA,-1.3,13.2,1.2
Hawaii,Hawaii,HI,-0.3,10.9,1.3
Idaho,Idaho,ID,-3.3,9.2,0.9
Illinois,Ill.,IL,-2.3,8,0.6
Indiana,Ind.,IN,-0.5,12,1.1
Iowa,Iowa,IA,1,9,1.5
Kansas,Kans.,KS,-1.7,9.1,1.6
Kentucky,Ky.,KY,-0.8,13.9,1.5
Louisiana,La.,LA,-3.1,15.4,0.9
Maine,Maine,ME,-2.8,8,1.4
Maryland,Md.,MD,0.3,9.2,1.1
Massachusetts,Mass.,MA,-2,8.4,0.8
Michigan,Mich.,MI,-0.3,11.1,0.9
Minnesota,Minn.,MN,-1.2,8.4,1
Mississippi,Miss.,MS,-0.6,17.5,1.9
Missouri,Mo.,MO,-1.9,10.6,1.1
Montana,Mont.,MT,0,11,1
Nebraska,Nebr.,NE,-2.5,8.3,0.8
Nevada,Nev.,NV,-1.4,12.9,1.3
New Hampshire,N.H.,NH,-1.7,6.2,0.9
New Jersey,N.J.,NJ,-1.8,8.2,0.9
New Mexico,N.M.,NM,-2.3,16.5,1.2
New York,N.Y.,NY,0.2,11.8,0.7
North Carolina,N.C.,NC,-1,13.7,1
North Dakota,N.D.,ND,-1.6,10.7,1.1
Ohio,Ohio,OH,0.1,12.7,1
Oklahoma,Okla.,OK,0,15.5,1.5
Oregon,Ore.,OR,-1.8,9.4,0.8
Pennsylvania,Pa.,PA,-1.7,10.6,1.1
Rhode Island,R.I.,RI,-1.3,8.5,1.2
South Carolina,S.C.,SC,0.2,13.3,1.3
South Dakota,S.D.,SD,0.4,11.6,3.3
Tennessee,Tenn.,TN,1.5,13.2,0.9
Texas,Tex.,TX,-0.9,14,0.7
Utah,Utah,UT,-0.4,7.4,1.1
Vermont,Vt.,VT,-0.6,8.6,1
Virginia,Va.,VA,-1.8,7.8,0.9
Washington,Wash.,WA,-2.1,8.3,1
West Virginia,W.Va.,WV,-2.5,14.1,1.8
Wisconsin,Wis.,WI,-0.8,8,1.1
Wyoming,Wyo.,WY,-1.7,9.8,1.1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,